1,Galaxy S20,8000,2.3 GHz Octa-core,563,6.000000,1440x3200
2,Galaxy s20 Plus,8000,2.3 GHz Octa-core,525,6.000000,1440x3200
3,iPhone 11,8000,2.1 GHz Exa-core,326,6.000000,828x1792
4,iPhone 11 Pro,8000,2.1 GHz exa-core,463,5.000000,1125x2436
5,iPhone 11 Pro Max,8000,2.1 GHz Exa-core,456,6.000000,1242x2688
6,Xiaomi Mi 10 Pro,8000,2.2 GHz Octa-core,386,6.000000,1080x2340
7,Oneplus 8,8000,2.2 GHz Octa-core,402,6.000000,1080x2400
8,iPhone SE,8000,2.1 GHz exa-core,326,4.000000,750x1334
9,Google Pixel 4,6000,2.2 GHz Octa-core,444,5.000000,1080x2200
10,Google Pixel 4 XL,6000,2.2 GHz Octa-core,534,6.000000,1440x3040
11,Xiaomi Mi 10,8000,2.2 GHz Octa-core,386,6.000000,1080x2340
12,Huawei Mate 30 Pro,8000,2.1 GHz Octa-core,409,6.000000,1176x2400
13,Xiaomi Poco F1,6000,2.3 GHz Octa-core,403,6.000000,1080x2246
14,Xiaomi Poco F2 Pro,6000,2.2 GHz Octa-core,395,6.000000,1080x2400
15,Galaxy Z Flip,8000,2.2 GHz Octa-core,425,6.000000,1080x2636
16,iPhone XS,8000,2.1 GHz Exa-core,459,5.000000,1125x2436
17,Motorola Razr,6000,1.8 GHz Octa-core,373,6.000000,876x2142
18,Google Pixel 3,8000,2.1 GHz Octa-core,443,5.000000,1080x2160
19,iPhone XR,8000,2.1 GHz Exa-core,326,6.000000,828x1792
20,Galaxy Fold,8000,2.2 GHz Octa-core,351,7.000000,1536x2048
21,iPhone 4S,512,1.0 GHz Dual-core,330,3.000000,640x96
22,test device,1234,super duper cpu,123,1.100000,1234x1234
